"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Population ages 35-39, male (% of male population)","SP.POP.3539.MA.5Y","5.12492822877887","5.05937677261166","5.02500767383493","5.01293372580501","5.05390954490109","5.13550822135631","5.23123841208782","5.31570054139798","5.39944903581267","5.49776093696176","5.63052181115406","5.82492340182451","6.01676605306369","6.15830248183189","6.28412520771866","6.38451344505393","6.41113240563286","6.34422006149755","6.22916563013085","6.1507640854981","6.1813731975129","6.29855029439414","6.51813964163347","6.81622228367849","7.15370693555685","7.60825837181983","8.18446398996639","8.83262466177039","9.44762519151681","9.77976257409519","9.62584603706749","9.05169767299073","8.68763750966284","8.692202265022","8.73965555804071","8.90915991216894","9.17730254077998","9.4238368387508","9.64263632991221","9.86628897904314","9.86792806294492","9.56797235023041","9.21647957148556","8.89468396157189","8.60415944152953","8.39517933494317","8.20636398488417","7.98319327731092","7.76106620992346","7.55399870889907","7.34178275021193","7.09534137963242","6.8281915606853","6.57673541350609","6.36616390504222","6.2192049696982","6.13326095261073","6.09630584449974","6.10222721354814","6.14019468186135","6.16836638990631","6.20004533493648","6.2577386450738","6.31227932522558","6.35957609355717",
"Africa Eastern and Southern","AFE","Population ages 35-39, male (% of male population)","SP.POP.3539.MA.5Y","5.39141537725817","5.36596239125018","5.33831119684056","5.30820004981762","5.27679859681142","5.24392451826882","5.21022442522706","5.17510297088562","5.13697771166653","5.09516977114653","5.05132462669347","5.01016423998708","4.97179886356186","4.93326438617342","4.89966322918655","4.87311712051907","4.84732025882143","4.82637160499071","4.82054311582657","4.82699774832016","4.842966418318","4.86746769117735","4.89520255648032","4.91798208611289","4.93655845282692","4.94412764324779","4.93966086624019","4.93983034071443","4.95036439315306","4.95672611580525","4.96264174775341","4.97495834076171","4.97606951894707","5.00202840135951","5.00809483509888","4.97903670832953","4.94584084070245","4.92063557818797","4.92433638373011","4.92360786541429","4.91761270268187","4.91570710789055","4.92012634008716","4.93172286049134","4.94884334701024","4.96887663137441","4.99086356642329","5.00956732351342","5.01891673696664","5.02182968597605","5.02670176679507","5.03739680813972","5.05656129392375","5.09349374716102","5.14864231871157","5.21682391695373","5.28807419553004","5.36045257993199","5.42893603485292","5.48325376294718","5.53028639371565","5.5709668259854","5.6109365717123","5.65494048402864","5.69557804777271",
"Afghanistan","AFG","Population ages 35-39, male (% of male population)","SP.POP.3539.MA.5Y","5.81024019001139","5.8208101708572","5.8357514344752","5.84659334438355","5.84221743770598","5.82116989381999","5.78566621087348","5.73598805576653","5.67863607195324","5.62345069386277","5.57395105829829","5.53113679215751","5.49680943082013","5.46646024192992","5.43067435066071","5.3868278151953","5.33693737207675","5.28364530740837","5.23351849655667","5.19229700449049","5.16021843727021","5.13079992550838","5.08509596919594","4.99759609026817","4.88740029047351","4.76674430438355","4.64312310410857","4.54648397192568","4.4876807519734","4.44575735139779","4.40911094377439","4.37779106041873","4.33755907025586","4.30178913713169","4.26800685169514","4.23535265370193","4.20746522817082","4.18715231268727","4.17590295308552","4.1749006304577","4.18568933401376","4.20940800119452","4.24491586375309","4.28911359681307","4.34140442669297","4.39709450589078","4.45222314604553","4.50620147839799","4.55695139690516","4.60309516451737","4.64501908398217","4.67884074599099","4.70552269319408","4.72483422798391","4.7359642230746","4.74560397016992","4.75167612144027","4.74724802488342","4.73873113976496","4.7359687132299","4.74873058032312","4.78675900316529","4.85369346798091","4.9446647063732","5.05018218937478",
"Africa Western and Central","AFW","Population ages 35-39, male (% of male population)","SP.POP.3539.MA.5Y","5.68564510836637","5.6629674201432","5.63592584738652","5.61022283133169","5.58374450300699","5.55737768601799","5.53243179335157","5.50802900213329","5.48351637530562","5.45875820992399","5.43442171049149","5.41090818072537","5.38833955149266","5.3655406452261","5.33959352385939","5.31209512666098","5.28129033065628","5.24612842730084","5.21066936241511","5.1780967781292","5.14709211628883","5.1117145208848","5.06445688284905","4.98475593857629","4.88317041795074","4.79879882271834","4.73778572290363","4.69638544153808","4.68875841246341","4.70744138826964","4.7241756978385","4.73662570481416","4.75292435170822","4.77068022127122","4.7862624505271","4.80034556147625","4.81819820054414","4.83920877778433","4.86155263141111","4.88584014636302","4.90916095172359","4.92546215231147","4.93859633707207","4.95691729531022","4.98015547283199","5.00450650237772","5.02789224821709","5.05449392369011","5.08885371274691","5.13102399990124","5.18057531965661","5.2365915481966","5.29573013935756","5.35788463132066","5.41388314637942","5.45339275542245","5.48289315499883","5.50786529418278","5.52795357426492","5.54009256922898","5.54816552537683","5.55390358360456","5.55273537042462","5.54787198085891","5.54162904538953",
"Angola","AGO","Population ages 35-39, male (% of male population)","SP.POP.3539.MA.5Y","6.00430561485245","6.01686025389799","6.00787948742542","5.99982416394314","5.99237561539894","5.98306975295138","5.96895411832802","5.94599724437566","5.90623339940069","5.84313502116908","5.76874742979692","5.69626986514966","5.62900675055953","5.56149054715836","5.47723837381669","5.38075494006341","5.28401603689982","5.19805034299873","5.13604494998951","5.11019137382572","5.12366550313329","5.16110804496735","5.20316035610639","5.21693391353735","5.18176513139358","5.1250810611522","5.07007688672305","5.02750834610592","5.02600119339979","5.07509072919171","5.14738661542499","5.22069575428932","5.29122273218987","5.34923467215371","5.39167320448557","5.42660502364519","5.45345436528641","5.4656354283173","5.45856314139721","5.42997006127267","5.38603136783578","5.33019638966987","5.26889768026572","5.21378596196593","5.1678306008541","5.12580067493223","5.08233447346577","5.04048988706044","5.00533498432437","4.980181569695","4.9706183586552","4.98025857964326","5.00334009482674","5.03161258547203","5.05908655643669","5.086199491119","5.11840559263495","5.15535635638125","5.19364060473662","5.23377551022958","5.27246106376509","5.30689690740756","5.33495846986255","5.35435374819393","5.36291930432307",
"Albania","ALB","Population ages 35-39, male (% of male population)","SP.POP.3539.MA.5Y","5.05187350063977","5.09423734516231","5.15660258043383","5.21147229818283","5.27010455660256","5.34223933002267","5.4233588198401","5.49815180103972","5.5544026883376","5.5972778144388","5.63490660538566","5.66781267077318","5.69864401412203","5.72870315422563","5.75815273165818","5.78764074522878","5.81273046238834","5.81769192846255","5.77879959586502","5.70032201842354","5.58720903597747","5.45324428662343","5.33201924371159","5.28102921016556","5.34252533426014","5.52631501486956","5.74352320884253","5.89710295875277","5.994216340013","6.11845170388323","6.32227465126589","6.57378641248727","6.84218333155155","7.10098777632908","7.33861144009199","7.52629809591054","7.66077999536607","7.73128054111837","7.70848623358976","7.56783384932128","7.3164199352235","7.05722636326821","6.8631644856875","6.72770754143289","6.63887722764127","6.57179256952004","6.49791664861384","6.39377874651347","6.24855622508324","6.06877574390265","5.87364629163126","5.70080300868871","5.5693535556885","5.47116528769378","5.40752713802769","5.38396032625499","5.4134392555231","5.49990867528976","5.64586327658455","5.85081317407113","6.11798947028876","6.43313663028778","6.77363479221064","7.11939282262593","7.4520215808232",
"Andorra","AND","Population ages 35-39, male (% of male population)","SP.POP.3539.MA.5Y","8.04275633042756","8.18407012195122","8.26671352016164","8.35908277768743","8.49006722562127","8.59677532915581","8.5718019077486","8.30433217328693","7.93484840147471","7.64822234619871","7.362193633205","7.04440373375207","6.71190021533336","6.34794156706507","5.99168413945058","5.75215330172932","5.68281938325991","5.83437518604513","6.20106837002911","6.7277628032345","7.35165005422713","7.98390302066773","8.41195156320906","8.66701851809358","8.86342013850477","8.89503473115513","8.92348350332411","9.0421729807005","9.15738294858543","9.13951263436322","9.06439591697122","9.0839745290528","9.1031124153217","9.39280626780627","9.79641729361603","9.98400900233942","10.1234788035483","10.1953970521108","10.2250175110904","10.2727259490077","10.2579834633476","10.2262099602525","10.1573261799463","10.0966538626877","10.0146038228414","9.85411403378412","9.6828106964217","9.61343243527064","9.6167055914274","9.64001325244771","9.68214865108454","9.69331182904087","9.62132625181932","9.45855833474981","9.24319193593669","8.87287868618937","8.51037600164372","8.26771127184245","8.10145800068058","7.91735728327487","7.67912456202712","7.43929718448907","7.22060157379943","7.07186729216037","7.0015638616639",
"Arab World","ARB","Population ages 35-39, male (% of male population)","SP.POP.3539.MA.5Y","5.45156958143547","5.458412012804","5.46586677729992","5.468034818443","5.46522919929959","5.45361720140222","5.43207632439906","5.40369396877952","5.36872095907907","5.32246330983919","5.26036952653711","5.18660191010301","5.10825706903104","5.02003977946","4.92725630507262","4.83586514612904","4.74320741640403","4.66673756537871","4.62389119431369","4.61657448375659","4.64529464415372","4.70293759791736","4.78334239434751","4.88076428625218","4.98243581665348","5.07956070685463","5.17099654911903","5.26246386324668","5.35551264457827","5.45139630491922","5.53288216292921","5.62462718736258","5.70192211687896","5.74664851828473","5.78250523698958","5.81803424695168","5.85032087686661","5.89168274458676","5.95221261666212","6.01707567365694","6.06948359344183","6.11237040795794","6.1513054654717","6.18932987790091","6.23564759490732","6.29656779663597","6.37520586390583","6.46195854398177","6.53483377681815","6.59313349759278","6.63466337752804","6.69951240101601","6.77993612476692","6.86789115477573","6.97604045122135","7.10713055192497","7.23101980571847","7.32489697451314","7.38590062996532","7.42587908209944","7.45046824188817","7.44891385566972","7.53123662076338","7.61295489774364","7.66427358915128",
"United Arab Emirates","ARE","Population ages 35-39, male (% of male population)","SP.POP.3539.MA.5Y","5.71095428794686","5.98359994932569","6.2764852118001","6.58858280885751","6.92583055344219","7.30276913662094","7.73897563524608","8.26273442458163","8.3705197570905","8.08326121667906","7.98098480133766","8.11968698030542","8.42776616585707","8.83711126865814","9.2829398529733","9.70475206637888","9.73961485865447","9.58449459224496","9.67014915678385","9.97625803902799","10.4542407442461","10.8401582363657","11.1558295854993","11.5981906222296","12.1212205526699","12.6265701247364","12.7708175923811","12.5985017270512","12.4349226497352","12.3310765805297","12.3321302426126","12.4698418811882","12.7319794136364","13.0699618440122","13.4332149253002","13.7524181305055","13.4443380165942","12.6481762134521","12.002849451588","11.5754978707568","11.3447248385599","11.2870508124594","11.3965654622888","11.599882779171","11.9667633461274","12.6594385327094","13.3017599539795","13.5409974366462","13.6082887059416","13.6121263718468","13.5718160495973","13.5018793495355","13.430447142533","13.4384103974163","13.4842945488151","13.4857301090703","13.4836055915884","13.5830524260527","13.6809305089838","13.693781946161","13.6855540734393","13.6786553181445","13.6880608770179","14.0473262624366","14.6699449882296",
"Argentina","ARG","Population ages 35-39, male (% of male population)","SP.POP.3539.MA.5Y","7.08120327887397","7.08702055935313","7.08277019657897","7.06830953258504","7.03991461765314","6.99810875532261","6.94225130213199","6.87072396132575","6.78747272461573","6.70171498898567","6.61839491439652","6.53631270057022","6.45626777785254","6.38357700295721","6.32479491348912","6.28184195107022","6.25609673106161","6.24940202226062","6.26107627283977","6.28819622212331","6.32865149820656","6.38168974069733","6.44595311322644","6.51528348680121","6.57335251198961","6.61798532697468","6.65381480831399","6.67633491707494","6.68618596058676","6.69120694665265","6.68974623717956","6.67656830601561","6.65271259861813","6.61418774234835","6.57484708549574","6.54390208947649","6.50988980492536","6.47826660692045","6.45877545919722","6.43166243039712","6.38023288253155","6.31620248837735","6.25416111806476","6.20756706531357","6.18698578399992","6.20119379111569","6.2558895635393","6.34058766270343","6.44104785444031","6.55799688053149","6.69250431665509","6.8359050294087","6.98624650151817","7.13022104056986","7.24053623018553","7.30936150941266","7.33981064459691","7.32988559775446","7.28901068025068","7.24452553149385","7.21631891223904","7.21064244043595","7.22543249963189","7.25795514883855","7.29972658486809",
